ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72113,ADJUNTAS,PR,0.160200901,0.199017199,0.128834356,0.161885246
00601,72001,ADJUNTAS,PR,0.839799099,0.800982801,0.871165644,0.838114754
00602,72005,AGUADA,PR,0.000000000,0.001207730,0.000000000,0.000080528
00602,72003,AGUADA,PR,1.000000000,0.998792271,1.000000000,0.999919472
00603,72005,AGUADILLA,PR,0.997160198,0.998168498,1.000000000,0.997297986
00603,72099,AGUADILLA,PR,0.002561390,0.001831500,0.000000000,0.002447110
00603,72071,AGUADILLA,PR,0.000278412,0.000000000,0.000000000,0.000254907
00604,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72017,ARECIBO,PR,0.000429185,0.000000000,0.000000000,0.000378501
00612,72065,ARECIBO,PR,0.002231760,0.000000000,0.000000000,0.001968210
00612,72141,ARECIBO,PR,0.000944206,0.000404367,0.003091190,0.000946253
00612,72013,ARECIBO,PR,0.993218884,0.999191266,0.996908810,0.993868282
00612,72054,ARECIBO,PR,0.003175970,0.000404367,0.000000000,0.002838760
00613,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72017,BARCELONETA,PR,0.897128520,0.953051643,1.000000000,0.901233495
00617,72091,BARCELONETA,PR,0.072019329,0.045383400,0.000000000,0.069840167
00617,72054,BARCELONETA,PR,0.030852200,0.001564950,0.000000000,0.028926300
00622,72023,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,CABO ROJO,PR,0.999161777,1.000000000,1.000000000,0.999217810
00623,72097,CABO ROJO,PR,0.000838223,0.000000000,0.000000000,0.000782190
00624,72113,PENUELAS,PR,0.001067660,0.000000000,0.000000000,0.001011120
00624,72059,PENUELAS,PR,0.000000000,0.020833300,0.000000000,0.001011120
00624,72111,PENUELAS,PR,0.998932337,0.979166667,1.000000000,0.997977755
00627,72027,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,CIALES,PR,0.999369085,0.990291262,1.000000000,0.998955224
00638,72107,CIALES,PR,0.000630915,0.009708700,0.000000000,0.001044780
00641,72141,UTUADO,PR,0.971941407,0.995412844,0.709090909,0.969276134
00641,72113,UTUADO,PR,0.028058600,0.004587160,0.290909091,0.030723900
00646,72143,DORADO,PR,0.017480100,0.004201680,0.000000000,0.016523100
00646,72135,DORADO,PR,0.009459800,0.002100840,0.000000000,0.008931400
00646,72051,DORADO,PR,0.968467233,0.988445378,1.000000000,0.969952153
00646,72137,DORADO,PR,0.004592820,0.005252100,0.000000000,0.004593300
00647,72121,ENSENADA,PR,0.008036700,0.000000000,0.000000000,0.007788600
00647,72055,ENSENADA,PR,0.991963261,1.000000000,1.000000000,0.992211405
00650,72091,FLORIDA,PR,0.005012070,0.000000000,0.000000000,0.004847400
00650,72017,FLORIDA,PR,0.004640800,0.000000000,0.000000000,0.004488330
00650,72013,FLORIDA,PR,0.134954520,0.006329110,0.160000000,0.131418312
00650,72054,FLORIDA,PR,0.855392612,0.993670886,0.840000000,0.859245961
00652,72013,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,72153,GUANICA,PR,0.004885440,0.000000000,0.000000000,0.004597340
00653,72055,GUANICA,PR,0.995114555,1.000000000,1.000000000,0.995402663
00656,72059,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,72013,HATILLO,PR,0.008594500,0.002366860,0.000000000,0.008094200
00659,72065,HATILLO,PR,0.991405504,0.997633136,1.000000000,0.991905754
00660,72097,HORMIGUEROS,PR,0.004544120,0.003300330,0.000000000,0.004439510
00660,72067,HORMIGUEROS,PR,0.995455878,0.996699670,1.000000000,0.995560488
00662,72115,ISABELA,PR,0.001207730,0.000735294,0.000000000,0.001162000
00662,72005,ISABELA,PR,0.001942870,0.002941180,0.000000000,0.001985090
00662,72071,ISABELA,PR,0.987030036,0.990441176,1.000000000,0.987411639
00662,72099,ISABELA,PR,0.009819400,0.005882350,0.000000000,0.009441300
00664,72073,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
